"simulation","method","accuracy","prob_accuracy","tree_size"
149,"SAASI",0.861924686192469,0.84144380831237,479
149,"SAASI_pars",0.849372384937239,0.791143876655129,479
149,"PastML",0.652719665271967,0.656459001131545,479
149,"TreeTime_1.0",0.665271966527197,0.6691125931336,479
149,"TreeTime_Custom",0.669456066945607,0.668335256420712,479
15,"ACE",0.398190045248869,0.442770240162006,443
15,"SIMMAP",0.434389140271493,0.467466063348416,443
15,"SAASI",0.923076923076923,0.899783124941091,443
15,"SAASI_pars",0.918552036199095,0.844253947170288,443
15,"PastML",0.398190045248869,0.449027685163576,443
15,"TreeTime_1.0",0.366515837104072,0.39934520012764,443
15,"TreeTime_Custom",0.393665158371041,0.405377184846536,443
150,"ACE",0.60546875,0.59246394876705,513
150,"SIMMAP",0.65625,0.5999609375,513
150,"SAASI",0.91015625,0.892513740834709,513
150,"SAASI_pars",0.90625,0.77184186402933,513
150,"PastML",0.58984375,0.592984845573686,513
150,"TreeTime_1.0",0.65234375,0.631306115005802,513
150,"TreeTime_Custom",0.73828125,0.699984581207068,513
151,"ACE",0.555555555555556,0.547070871583861,433
151,"SIMMAP",0.597222222222222,0.563148148148148,433
151,"SAASI",0.925925925925926,0.8952313300705,433
151,"SAASI_pars",0.884259259259259,0.80392806804501,433
151,"PastML",0.555555555555556,0.563079926999152,433
151,"TreeTime_1.0",0.592592592592593,0.577300442898698,433
151,"TreeTime_Custom",0.513888888888889,0.548855800827793,433
152,"ACE",0.621739130434783,0.603080605849129,461
152,"SIMMAP",0.652173913043478,0.611391304347826,461
152,"SAASI",0.939130434782609,0.913973853241283,461
152,"SAASI_pars",0.930434782608696,0.81033309687778,461
152,"PastML",0.695652173913043,0.614514616958691,461
152,"TreeTime_1.0",0.760869565217391,0.645262716612357,461
152,"TreeTime_Custom",0.721739130434783,0.722316959363779,461
153,"ACE",0.735294117647059,0.651447997549411,409
153,"SIMMAP",0.730392156862745,0.659313725490196,409
153,"SAASI",0.926470588235294,0.903772236936367,409
153,"SAASI_pars",0.906862745098039,0.8194526623558,409
153,"PastML",0.75,0.684898068354652,409
153,"TreeTime_1.0",0.75,0.734783700537607,409
153,"TreeTime_Custom",0.759803921568627,0.748432520201156,409
154,"ACE",0.644268774703557,0.667719838060788,507
154,"SIMMAP",0.707509881422925,0.694426877470356,507
154,"SAASI",0.948616600790514,0.926732327280005,507
154,"SAASI_pars",0.928853754940711,0.866846047449081,507
154,"PastML",0.798418972332016,0.748402859669844,507
154,"TreeTime_1.0",0.802371541501976,0.748649212108486,507
154,"TreeTime_Custom",0.691699604743083,0.72520739147097,507
155,"ACE",0.772727272727273,0.653862771223562,441
155,"SIMMAP",0.8,0.704590909090909,441
155,"SAASI",0.936363636363636,0.918904079810177,441
155,"SAASI_pars",0.922727272727273,0.825991500213471,441
155,"PastML",0.790909090909091,0.684771541579836,441
155,"TreeTime_1.0",0.890909090909091,0.84031691659931,441
155,"TreeTime_Custom",0.913636363636364,0.875824236052759,441
156,"ACE",0.447698744769874,0.481367413372068,479
156,"SIMMAP",0.430962343096234,0.497154811715481,479
156,"SAASI",0.899581589958159,0.879998018046713,479
156,"SAASI_pars",0.887029288702929,0.81604995995703,479
156,"PastML",0.502092050209205,0.555271308401655,479
156,"TreeTime_1.0",0.485355648535565,0.525952370452979,479
156,"TreeTime_Custom",0.426778242677824,0.453556893835538,479
157,"ACE",0.674107142857143,0.593757011033309,449
157,"SIMMAP",0.691964285714286,0.603392857142857,449
157,"SAASI",0.897321428571429,0.882435077432885,449
157,"SAASI_pars",0.90625,0.768904998969397,449
157,"PastML",0.647321428571429,0.602828779060762,449
157,"TreeTime_1.0",0.705357142857143,0.640600550328623,449
157,"TreeTime_Custom",0.714285714285714,0.677626486966472,449
158,"ACE",0.570833333333333,0.590875472606564,481
158,"SIMMAP",0.5875,0.592666666666667,481
158,"SAASI",0.929166666666667,0.91133700630208,481
158,"SAASI_pars",0.916666666666667,0.810400746775308,481
158,"PastML",0.570833333333333,0.603532173519778,481
158,"TreeTime_1.0",0.55,0.570688646710484,481
158,"TreeTime_Custom",0.529166666666667,0.552140093294622,481
159,"ACE",0.448275862068966,0.491742257376648,465
159,"SIMMAP",0.482758620689655,0.508793103448276,465
159,"SAASI",0.931034482758621,0.897367876801643,465
159,"SAASI_pars",0.905172413793103,0.828325010267524,465
159,"PastML",0.469827586206897,0.512303981174344,465
159,"TreeTime_1.0",0.435344827586207,0.48605397551478,465
159,"TreeTime_Custom",0.435344827586207,0.44314176203433,465
16,"ACE",0.72,0.624083270690628,451
16,"SIMMAP",0.782222222222222,0.639466666666667,451
16,"SAASI",0.96,0.936096253195106,451
16,"SAASI_pars",0.955555555555556,0.787640025247371,451
16,"PastML",0.715555555555556,0.623054962168741,451
16,"TreeTime_1.0",0.751111111111111,0.675416182586421,451
16,"TreeTime_Custom",0.817777777777778,0.789062955270223,451
161,"ACE",0.653846153846154,0.617575942175888,469
161,"SIMMAP",0.683760683760684,0.634358974358974,469
161,"SAASI",0.927350427350427,0.90477722186855,469
161,"SAASI_pars",0.918803418803419,0.802030044616999,469
161,"PastML",0.666666666666667,0.63301165552,469
161,"TreeTime_1.0",0.773504273504274,0.742248738091467,469
161,"TreeTime_Custom",0.752136752136752,0.724450044315442,469
162,"ACE",0.692640692640693,0.666378663432083,463
162,"SIMMAP",0.731601731601732,0.67961038961039,463
162,"SAASI",0.943722943722944,0.935083452952725,463
162,"SAASI_pars",0.93939393939394,0.850091802778446,463
162,"PastML",0.692640692640693,0.669868429174031,463
162,"TreeTime_1.0",0.696969696969697,0.685837949891435,463
162,"TreeTime_Custom",0.722943722943723,0.712137860083115,463
163,"ACE",0.531380753138075,0.572847310108907,479
163,"SIMMAP",0.610878661087866,0.586694560669456,479
163,"SAASI",0.928870292887029,0.905769834467425,479
163,"SAASI_pars",0.933054393305439,0.810935771437797,479
163,"PastML",0.610878661087866,0.606674005464329,479
163,"TreeTime_1.0",0.585774058577406,0.573366759411967,479
163,"TreeTime_Custom",0.543933054393305,0.535162159097211,479
165,"ACE",0.55241935483871,0.553748292462267,497
165,"SIMMAP",0.588709677419355,0.576451612903226,497
165,"SAASI",0.915322580645161,0.893508910030059,497
165,"SAASI_pars",0.903225806451613,0.847269926149616,497
165,"PastML",0.600806451612903,0.602721445960362,497
